material_type,year,month,waste_quantity,sold_out_qty,isSuccessfull,months_to_sell,isSuccessfulMonth,unit_price_lkr,trend_status_code,recommended_unit_price
Linen,2025,7,2155.0,247.7,0,12.0,0,621.27,0,592.24
Nylon,2025,7,2186.0,1811.2,1,4.0,1,290.72,1,365.83
Polyester,2025,7,1934.0,496.9,0,9.6,0,230.75,0,282.12
Satin,2025,7,2159.0,967.4,0,9.2,0,647.6,0,530.9
Silk,2025,7,840.0,594.8,1,5.2,1,1158.68,1,1416.01
Terrycloth,2025,7,2169.0,2022.0,1,2.7,1,400.76,1,563.17
Viscose,2025,7,1834.0,560.6,0,8.3,0,407.88,0,262.54
Wool,2025,7,2391.0,1997.7,1,5.0,1,869.03,1,1022.82
Blended,2025,6,1216.0,687.0,1,6.6,1,359.94,1,467.58
Chenille,2025,6,1080.0,343.1,0,9.0,0,653.65,0,406.61
Corduroy,2025,6,1527.0,1479.5,1,2.6,1,501.21,1,509.07
Cotton,2025,6,652.0,593.6,1,3.4,1,431.46,1,495.41
Crepe,2025,6,2256.0,791.8,0,9.7,0,541.77,0,362.62
Denim,2025,6,1882.0,1417.8,1,4.5,1,490.42,1,320.98
Fleece,2025,6,2399.0,1113.3,0,8.9,0,420.99,1,432.33
Leather,2025,6,1896.0,1285.2,1,6.6,1,1459.98,1,1519.11
Linen,2025,6,786.0,740.5,1,4.3,1,656.19,1,787.05
Nylon,2025,6,1643.0,1493.0,1,4.3,1,280.48,1,371.33
Polyester,2025,6,453.0,49.0,0,9.7,0,254.55,0,246.0
Satin,2025,6,1696.0,1182.4,1,4.4,1,651.36,1,754.43
Silk,2025,6,2084.0,740.9,0,8.4,0,1011.29,0,600.94
Terrycloth,2025,6,1077.0,639.6,1,5.8,1,388.83,0,549.84
Viscose,2025,6,1156.0,348.9,0,8.0,0,398.61,0,407.44
Wool,2025,6,360.0,41.9,0,11.8,0,865.98,0,563.63
Blended,2025,5,597.0,234.5,0,9.5,1,383.22,0,348.47
Chenille,2025,5,1727.0,1182.4,1,5.5,1,659.76,1,761.31
Corduroy,2025,5,1358.0,1016.9,1,5.3,1,583.41,1,617.27
Cotton,2025,5,659.0,367.7,1,6.5,1,487.83,0,358.78
Crepe,2025,5,669.0,226.6,0,10.8,0,646.17,0,432.37
Denim,2025,5,1893.0,1847.0,1,1.6,1,455.52,1,460.61
Fleece,2025,5,762.0,688.0,1,3.4,1,484.9,1,511.36
Leather,2025,5,2274.0,1854.1,1,3.8,1,1467.14,1,1280.47
Linen,2025,5,997.0,678.6,1,5.5,1,646.95,1,847.78
Nylon,2025,5,1159.0,1017.3,1,3.1,1,326.55,1,469.27
Polyester,2025,5,1015.0,358.0,0,7.1,0,251.45,0,233.37
Satin,2025,5,746.0,590.6,1,4.0,1,617.48,1,747.85
Silk,2025,5,1443.0,754.6,0,6.4,0,1064.13,0,1065.89
Terrycloth,2025,5,1269.0,1171.8,1,2.0,1,412.68,1,454.89
Viscose,2025,5,2346.0,1813.3,1,5.6,1,410.97,1,566.42
Wool,2025,5,501.0,486.0,1,2.3,1,968.76,1,1219.52
Blended,2025,4,899.0,780.1,1,5.1,1,329.5,1,321.78
Chenille,2025,4,390.0,146.3,0,9.5,0,662.81,0,619.99
Corduroy,2025,4,2206.0,753.6,0,9.1,0,535.46,0,517.75
Cotton,2025,4,327.0,142.4,0,7.9,0,439.51,1,425.55
Crepe,2025,4,1958.0,1683.5,1,5.4,1,549.99,1,812.27
Denim,2025,4,1546.0,947.8,0,7.3,1,467.46,1,599.56
Fleece,2025,4,825.0,539.1,1,6.7,1,488.95,1,500.54
Leather,2025,4,1886.0,426.4,0,11.2,0,1417.01,0,1471.04
Linen,2025,4,354.0,129.5,0,8.7,0,618.19,0,551.72
Nylon,2025,4,984.0,850.0,1,3.6,1,317.33,1,412.6
Polyester,2025,4,445.0,188.5,0,7.2,0,253.52,0,242.18
Satin,2025,4,1700.0,623.7,0,9.4,0,673.01,0,799.58
Silk,2025,4,737.0,611.0,1,5.1,1,1194.83,1,1420.67
Terrycloth,2025,4,1120.0,728.4,1,5.6,1,400.76,1,499.21
Viscose,2025,4,1729.0,181.0,0,11.6,0,391.4,0,275.22
Wool,2025,4,235.0,192.3,1,4.1,1,886.33,1,1334.68
Blended,2025,3,599.0,87.3,0,11.0,0,345.61,0,264.58
Chenille,2025,3,2106.0,851.2,0,8.6,0,582.38,0,484.5
Corduroy,2025,3,1315.0,816.6,1,6.2,0,581.13,1,631.74
Cotton,2025,3,2023.0,1255.2,1,6.3,0,437.21,1,365.75
Crepe,2025,3,1053.0,416.3,0,8.0,0,572.19,0,439.16
Denim,2025,3,774.0,761.4,1,2.0,1,487.66,1,533.2
Fleece,2025,3,2397.0,1514.3,1,6.8,1,461.56,1,417.57
Leather,2025,3,1915.0,258.4,0,8.9,0,1397.57,0,1298.54
Linen,2025,3,1277.0,745.0,1,6.6,1,581.22,1,690.07
Nylon,2025,3,1795.0,528.2,0,9.7,0,291.74,0,339.69
Polyester,2025,3,204.0,104.4,1,6.3,1,278.35,1,322.84
Satin,2025,3,973.0,142.6,0,11.8,0,631.6,0,627.02
Silk,2025,3,246.0,179.5,1,5.7,1,1142.92,1,1294.86
Terrycloth,2025,3,468.0,455.2,1,2.9,1,435.34,1,477.78
Viscose,2025,3,1329.0,519.2,0,7.2,0,394.49,0,383.94
Wool,2025,3,856.0,392.9,0,8.6,1,949.42,0,890.08
Blended,2025,2,2010.0,995.1,0,7.4,1,333.08,1,234.19
Chenille,2025,2,2174.0,708.2,0,11.5,0,642.45,0,437.88
Corduroy,2025,2,316.0,54.6,0,10.6,0,583.41,0,554.63
Cotton,2025,2,1350.0,980.6,1,4.8,1,462.52,1,586.4
Crepe,2025,2,1281.0,1183.2,1,4.5,1,576.3,1,695.32
Denim,2025,2,1319.0,783.9,1,6.4,1,532.66,0,505.82
Fleece,2025,2,759.0,200.8,0,10.5,0,443.3,0,269.15
Leather,2025,2,1096.0,1051.5,1,2.4,1,1457.93,1,1232.83
Linen,2025,2,903.0,540.8,1,7.6,1,570.96,0,486.81
Nylon,2025,2,2494.0,356.5,0,10.6,0,295.84,0,306.53
Polyester,2025,2,353.0,148.4,0,9.0,0,265.94,0,158.0
Satin,2025,2,1196.0,248.9,0,8.9,0,608.07,0,584.86
Silk,2025,2,1443.0,204.0,0,11.6,0,1114.18,0,1181.67
Terrycloth,2025,2,1208.0,459.4,0,7.8,1,399.56,0,381.22
Viscose,2025,2,1157.0,848.4,1,5.3,1,421.27,1,351.37
Wool,2025,2,2465.0,1940.0,1,5.2,1,824.26,1,870.87
Blended,2025,1,1835.0,469.5,0,8.8,0,350.98,0,329.15
Chenille,2025,1,1957.0,1340.1,1,4.2,1,617.0,1,554.66
Corduroy,2025,1,1985.0,1298.7,1,7.0,1,579.99,1,694.62
Cotton,2025,1,1831.0,1594.5,1,3.9,1,411.9,1,534.8
Crepe,2025,1,1548.0,1107.7,1,5.8,1,570.54,1,495.68
Denim,2025,1,535.0,362.8,1,6.2,1,473.89,1,522.74
Fleece,2025,1,696.0,612.8,1,2.3,1,487.94,1,494.47
Leather,2025,1,2407.0,2277.5,1,3.1,1,1545.92,1,1028.36
Linen,2025,1,1887.0,1338.7,1,4.5,1,562.74,1,637.22
Nylon,2025,1,1768.0,906.0,1,5.6,1,298.91,0,360.1
Polyester,2025,1,1836.0,1217.9,1,4.9,1,258.69,1,261.43
Satin,2025,1,1640.0,1125.6,1,4.5,1,631.6,1,680.58
Silk,2025,1,1266.0,349.7,0,8.8,0,1117.89,0,949.31
Terrycloth,2025,1,211.0,40.2,0,10.1,0,400.76,0,255.77
Viscose,2025,1,953.0,681.1,1,7.0,1,385.22,1,388.51
Wool,2025,1,975.0,435.7,0,8.0,0,973.84,0,1183.68
Blended,2024,12,1825.0,742.0,0,8.5,0,361.73,0,358.38
Chenille,2024,12,314.0,111.1,0,8.7,0,676.05,0,664.17
Corduroy,2024,12,1025.0,745.2,1,4.9,1,556.01,1,662.06
Cotton,2024,12,612.0,82.8,1,10.8,0,448.72,0,248.8
Crepe,2024,12,928.0,763.9,1,4.0,1,638.78,1,692.19
Denim,2024,12,875.0,227.2,0,9.4,0,537.26,0,577.69
Fleece,2024,12,2439.0,1508.1,1,5.9,1,460.55,0,605.26
Leather,2024,12,1322.0,623.1,0,6.9,0,1603.21,0,1617.9
Linen,2024,12,1177.0,382.5,0,8.5,0,630.52,0,712.02
Nylon,2024,12,2343.0,953.0,0,8.2,0,272.29,0,185.77
Polyester,2024,12,236.0,74.3,0,9.7,0,244.21,0,263.13
Satin,2024,12,1748.0,1338.8,1,3.6,1,665.48,1,696.38
Silk,2024,12,2021.0,1843.8,1,4.0,1,1074.32,1,1205.06
Terrycloth,2024,12,2309.0,1262.8,1,7.1,1,364.97,1,313.07
Viscose,2024,12,928.0,360.1,1,7.5,0,385.22,0,465.63
Wool,2024,12,898.0,170.6,0,10.2,0,940.26,0,912.96
Blended,2024,11,1835.0,201.4,0,10.7,0,313.38,0,293.1
Chenille,2024,11,275.0,115.3,0,10.1,0,626.16,0,610.92
Corduroy,2024,11,2019.0,1928.3,1,4.3,1,546.88,1,509.74
Cotton,2024,11,1050.0,570.9,1,7.4,1,474.03,0,443.87
Crepe,2024,11,343.0,172.7,0,6.9,0,631.38,0,466.66
Denim,2024,11,595.0,235.5,1,8.9,0,483.07,1,321.09
Fleece,2024,11,1692.0,1314.9,1,4.7,1,448.38,1,246.85
Leather,2024,11,1262.0,229.8,0,11.3,0,1470.21,0,1397.29
Linen,2024,11,1265.0,1235.7,1,2.5,1,598.68,1,680.81
Nylon,2024,11,833.0,414.3,0,8.1,0,319.38,0,356.38
Polyester,2024,11,1438.0,850.3,1,6.2,0,264.9,1,294.1
Satin,2024,11,950.0,217.3,0,10.5,0,695.6,0,682.12
Silk,2024,11,1153.0,756.8,1,6.4,1,1140.14,1,1420.44
Terrycloth,2024,11,1742.0,842.2,1,7.7,0,400.76,1,367.28
Viscose,2024,11,1391.0,230.2,0,9.6,0,385.22,0,327.84
Wool,2024,11,1417.0,245.4,0,10.3,0,896.51,0,855.68
Blended,2024,10,1645.0,1625.2,1,3.1,1,327.71,1,390.6
Chenille,2024,10,1719.0,1507.3,1,2.2,1,602.74,1,613.61
Corduroy,2024,10,1565.0,1301.3,1,5.4,1,583.41,1,465.23
Cotton,2024,10,710.0,651.0,1,4.2,1,452.17,1,546.32
Crepe,2024,10,1524.0,1185.7,1,4.4,1,622.33,1,695.19
Denim,2024,10,2010.0,1606.9,1,3.6,1,489.5,1,749.61
Fleece,2024,10,290.0,93.9,0,8.3,0,477.8,0,342.29
Leather,2024,10,238.0,116.9,1,7.5,1,1535.69,0,1089.1
Linen,2024,10,372.0,41.0,0,11.3,0,623.33,0,622.72
Nylon,2024,10,1443.0,886.5,1,5.9,1,307.1,1,261.75
Polyester,2024,10,1883.0,389.7,0,10.0,0,233.86,0,244.27
Satin,2024,10,1028.0,864.0,1,4.9,1,682.43,1,810.28
Silk,2024,10,2158.0,1664.8,1,4.4,1,1019.63,1,1040.32
Terrycloth,2024,10,389.0,179.0,1,5.6,1,385.25,0,452.48
Viscose,2024,10,1731.0,618.2,0,7.9,0,400.67,0,313.17
Wool,2024,10,1023.0,588.8,0,7.6,1,869.03,1,916.74
Blended,2024,9,1340.0,1295.6,1,3.4,1,383.22,1,319.73
Chenille,2024,9,884.0,860.0,1,3.7,1,709.65,1,761.69
Corduroy,2024,9,2052.0,801.1,0,7.7,0,578.85,0,492.73
Cotton,2024,9,279.0,160.4,1,8.0,0,451.02,1,274.78
Crepe,2024,9,402.0,372.7,1,5.3,1,568.9,1,694.45
Denim,2024,9,1899.0,1136.5,1,6.7,1,512.46,1,702.88
Fleece,2024,9,1755.0,294.6,0,10.3,0,429.1,0,315.32
Leather,2024,9,2294.0,1528.9,1,6.8,1,1566.38,1,2003.42
Linen,2024,9,1749.0,638.5,0,7.2,0,628.46,0,522.35
Nylon,2024,9,1596.0,1160.7,1,5.3,1,308.12,1,364.89
Polyester,2024,9,670.0,94.4,0,9.9,0,250.41,0,230.63
Satin,2024,9,1235.0,1189.1,1,2.9,1,646.66,1,1018.33
Silk,2024,9,1167.0,531.1,0,8.4,0,1174.43,0,1059.56
Terrycloth,2024,9,867.0,348.6,1,9.0,0,405.53,0,331.3
Viscose,2024,9,1345.0,362.2,0,10.6,0,390.37,0,411.34
Wool,2024,9,289.0,129.9,0,6.4,1,923.98,0,893.75
Blended,2024,8,739.0,125.6,0,9.0,0,383.22,0,297.95
Chenille,2024,8,240.0,80.1,0,9.5,0,682.16,0,750.69
Corduroy,2024,8,2146.0,1563.0,1,6.0,1,548.02,1,666.32
Cotton,2024,8,1128.0,530.3,1,7.3,0,430.31,1,347.74
Crepe,2024,8,1124.0,247.1,0,10.8,0,628.09,0,475.57
Denim,2024,8,589.0,562.4,1,4.7,1,544.6,1,587.4
Fleece,2024,8,455.0,283.5,1,5.4,1,430.12,1,238.49
Leather,2024,8,2144.0,1021.4,1,5.9,1,1462.03,0,1429.53
Linen,2024,8,997.0,876.8,1,4.8,1,653.11,1,806.01
Nylon,2024,8,1076.0,267.2,0,9.8,0,319.38,0,287.89
Polyester,2024,8,1215.0,533.2,0,7.0,1,266.97,0,264.91
Satin,2024,8,2393.0,2365.6,1,2.1,1,646.66,1,624.59
Silk,2024,8,2424.0,1064.3,0,7.7,0,1032.61,0,1286.99
Terrycloth,2024,8,262.0,118.9,0,7.2,1,403.14,0,450.8
Viscose,2024,8,888.0,758.8,1,3.9,1,432.6,1,588.2
Wool,2024,8,1833.0,244.0,0,9.8,0,912.79,0,1040.04
Blended,2024,7,710.0,245.7,1,7.6,0,379.64,0,360.68
Chenille,2024,7,717.0,518.1,1,5.9,1,705.57,1,844.39
Corduroy,2024,7,1868.0,1862.3,1,2.5,1,543.45,1,634.0
Cotton,2024,7,1660.0,1040.2,1,6.5,0,437.21,1,458.03
Crepe,2024,7,913.0,789.5,1,3.9,1,646.17,1,848.54
Denim,2024,7,1368.0,433.6,0,8.4,0,517.05,0,581.78
Fleece,2024,7,2101.0,685.6,0,10.7,0,447.36,0,318.93
Leather,2024,7,884.0,570.7,1,6.7,1,1607.31,1,1706.56
Linen,2024,7,1669.0,1486.1,1,4.7,1,622.3,1,473.7
Nylon,2024,7,687.0,450.9,1,6.8,1,298.91,1,284.52
Polyester,2024,7,2342.0,473.6,0,9.1,0,241.1,0,164.23
Satin,2024,7,2401.0,1316.6,1,6.5,1,585.48,0,596.07
Silk,2024,7,637.0,506.5,1,4.4,1,1126.23,1,1571.28
Terrycloth,2024,7,467.0,389.8,1,4.1,1,386.44,1,413.09
Viscose,2024,7,435.0,263.1,1,7.2,0,409.94,1,368.43
Wool,2024,7,962.0,445.5,0,8.2,0,921.95,0,739.97
Blended,2024,6,823.0,437.9,0,7.4,1,345.61,1,336.0
Chenille,2024,6,1452.0,955.8,1,5.9,1,670.96,1,432.85
Corduroy,2024,6,777.0,640.7,1,5.0,1,527.47,1,593.09
Cotton,2024,6,2350.0,523.4,0,8.9,0,404.99,0,244.03
Crepe,2024,6,963.0,946.1,1,2.1,1,648.64,1,605.25
Denim,2024,6,1529.0,964.7,1,5.9,0,469.3,0,543.44
Fleece,2024,6,1558.0,769.2,1,6.7,1,407.8,0,437.34
Leather,2024,6,646.0,486.9,1,4.6,1,1539.78,1,1842.27
Linen,2024,6,1558.0,711.8,0,8.3,0,611.0,0,545.84
Nylon,2024,6,958.0,547.2,0,7.1,1,292.77,1,211.63
Polyester,2024,6,2328.0,2222.2,1,3.4,1,250.41,1,214.1
Satin,2024,6,337.0,314.7,1,3.6,1,615.6,1,701.47
Silk,2024,6,1553.0,1230.0,1,6.3,1,980.7,1,1315.24
Terrycloth,2024,6,268.0,263.2,1,3.5,1,419.84,1,482.83
Viscose,2024,6,2300.0,949.1,0,8.1,0,393.46,0,359.38
Wool,2024,6,2373.0,1590.1,1,5.8,1,889.38,1,828.74
Blended,2024,5,2106.0,1228.9,1,6.5,1,352.78,1,312.45
Chenille,2024,5,2342.0,1078.0,1,7.9,0,677.07,0,563.37
Corduroy,2024,5,2135.0,1444.9,1,6.5,1,543.45,1,562.06
Cotton,2024,5,559.0,406.3,1,4.9,1,447.56,1,392.7
Crepe,2024,5,2087.0,1098.9,1,6.8,1,613.29,0,729.76
Denim,2024,5,292.0,284.9,1,3.0,1,486.74,1,564.84
Fleece,2024,5,260.0,71.0,0,7.8,0,452.43,0,382.09
Leather,2024,5,1228.0,504.2,0,8.5,0,1431.33,0,1377.61
Linen,2024,5,881.0,228.5,0,10.5,0,568.9,0,614.04
Nylon,2024,5,1628.0,966.8,1,7.1,1,313.24,1,403.87
Polyester,2024,5,2480.0,1042.6,1,8.8,0,258.69,0,218.02
Satin,2024,5,2168.0,1199.1,1,6.3,0,645.72,1,702.14
Silk,2024,5,2036.0,792.9,0,8.2,0,1040.95,0,985.23
Terrycloth,2024,5,2496.0,1330.4,1,7.5,1,375.71,0,400.14
Viscose,2024,5,2461.0,427.2,0,10.8,0,369.77,0,349.53
Wool,2024,5,306.0,284.2,1,3.7,1,879.21,1,793.01
Blended,2024,4,536.0,187.2,0,9.4,0,361.73,0,285.66
Chenille,2024,4,1480.0,260.6,0,9.5,0,684.19,0,454.06
Corduroy,2024,4,2090.0,556.1,0,9.9,0,556.01,0,649.22
Cotton,2024,4,502.0,217.6,0,7.2,0,444.11,1,423.28
Crepe,2024,4,925.0,289.1,0,7.7,0,661.79,0,603.75
Denim,2024,4,227.0,98.1,1,9.1,0,524.4,0,561.29
Fleece,2024,4,564.0,88.0,0,9.5,0,460.55,0,292.52
Leather,2024,4,1535.0,337.4,0,9.5,0,1483.51,0,1060.65
Linen,2024,4,1226.0,1110.4,1,4.2,1,607.92,1,627.94
Nylon,2024,4,1974.0,251.5,0,11.2,0,279.46,0,354.07
Polyester,2024,4,2106.0,670.2,0,8.1,0,240.07,0,167.65
Satin,2024,4,1854.0,814.9,0,7.7,0,651.36,0,651.56
Silk,2024,4,913.0,554.7,1,6.5,1,1026.12,0,1153.64
Terrycloth,2024,4,1496.0,434.3,0,11.2,0,392.41,0,407.35
Viscose,2024,4,325.0,67.5,0,10.9,0,382.13,0,358.25
Wool,2024,4,2392.0,977.5,0,8.9,0,805.94,0,939.45
Blended,2024,3,2272.0,1615.8,1,6.1,1,359.94,1,413.87
Chenille,2024,3,2356.0,1252.5,1,8.5,1,649.58,0,641.46
Corduroy,2024,3,2475.0,1443.9,1,7.0,1,540.03,1,553.91
Cotton,2024,3,2281.0,1373.1,0,7.7,1,409.6,1,403.35
Crepe,2024,3,1741.0,1583.8,1,2.9,1,585.34,1,488.71
Denim,2024,3,1961.0,627.4,0,9.1,0,477.56,0,590.95
Fleece,2024,3,1076.0,427.5,0,8.4,0,432.15,0,514.5
Leather,2024,3,1512.0,161.5,0,11.2,0,1442.59,0,1141.23
Linen,2024,3,1933.0,828.9,1,9.3,1,576.09,0,521.08
Nylon,2024,3,1830.0,274.7,0,10.7,0,296.86,0,242.72
Polyester,2024,3,1360.0,234.2,0,10.0,0,263.87,0,151.37
Satin,2024,3,442.0,51.5,0,10.4,0,610.89,0,413.38
Silk,2024,3,428.0,421.2,1,2.2,1,1090.08,1,1436.61
Terrycloth,2024,3,1446.0,1311.4,1,3.6,1,425.8,1,401.56
Viscose,2024,3,667.0,648.7,1,4.3,1,412.0,1,354.78
Wool,2024,3,203.0,21.3,0,9.6,0,967.74,0,888.15
Blended,2024,2,317.0,105.3,0,8.5,0,367.1,0,238.43
Chenille,2024,2,2221.0,1558.7,1,5.8,1,594.6,1,607.21
Corduroy,2024,2,1046.0,608.3,0,5.8,1,532.04,0,450.01
Cotton,2024,2,1658.0,1417.1,1,3.4,1,447.56,1,547.06
Crepe,2024,2,1868.0,501.3,0,8.2,0,541.77,0,378.68
Denim,2024,2,1341.0,992.1,1,3.3,1,512.46,1,579.09
Fleece,2024,2,731.0,232.6,0,7.5,0,488.95,0,296.47
Leather,2024,2,758.0,558.3,1,3.8,1,1553.08,1,1741.15
Linen,2024,2,1773.0,1104.8,1,4.6,1,575.06,1,496.1
Nylon,2024,2,338.0,317.3,1,3.4,1,314.26,1,391.03
Polyester,2024,2,2226.0,1412.4,1,5.5,1,244.21,1,306.34
Satin,2024,2,1101.0,443.6,0,7.2,0,663.6,0,711.75
Silk,2024,2,209.0,124.1,1,6.4,1,1191.12,1,1646.03
Terrycloth,2024,2,1873.0,1856.1,1,1.2,1,388.83,1,444.42
Viscose,2024,2,2260.0,1618.4,1,4.8,1,420.24,1,370.24
Wool,2024,2,1542.0,1100.0,1,5.0,1,926.02,1,1188.61
Blended,2024,1,2194.0,1153.7,1,7.0,1,324.12,1,298.45
Chenille,2024,1,2238.0,1823.7,1,4.8,1,585.43,1,661.86
Corduroy,2024,1,1318.0,1234.4,1,3.8,1,534.32,1,648.8
Cotton,2024,1,435.0,203.4,1,8.3,1,424.55,1,400.11
Crepe,2024,1,2108.0,1597.4,1,5.5,1,547.52,1,588.31
Denim,2024,1,1770.0,1652.8,1,3.6,1,494.09,1,623.02
Fleece,2024,1,2055.0,1650.9,1,5.4,1,403.74,1,401.79
